Product Name,Price (€),Pack Size (g),Serving Size (servings),Energy (kcal),Fat (g),Saturates (g),Carbohydrates (g),Sugars (g),Fibre (g),Protein (g),Salt (g)
Mini Pancakes Pan Set With Nutella,6.44,350,4,538,30.9,10.6,57.5,56.3,3.2,6.3,0.11
Master Chocolatier Collection,1.16,320,8,542,33 g,18 g,53 g,51 g,2.8g,6.7 g,0.15 g
4 Smoked Bacon & Vintage Cheddar Rolls,3.51,188,4,377,25.8g,14.0g,25.1g,1.9g,1.3g,10.4g,1.03g
Berry & Cherry Museli,35.1,500,10,349,4.1g,0.7g,66.3g,25.2g,6.7g,8.3g,0.1g
Salted Caramel Milkshake,2.69,330,1,61,1.3g,0.9g,9.3g,6.2g,0.0g,3.1g,0.14g
Pawelek Milk Chocolate Bar With Creamy Filling,3.51,45,1,476,21 g,11 g,64 g,61 g,"1,2 g","4,1 g","0,13 g"
Persimmons,1.51,400,2,81,<0.1g,0g,18.6g,18.6g,1.6g,0.8g,0.01g
Stir Fry Sauce 30% Less Sugar Sweet Chilli Garlic,7.02,120,2,101,1.3g,<0.1g,21.5g,15.5g,<0.5g,0.9g,0.95g
Gluten Free 4 Soft Brioche Rolls,84.53,240,4,253,8.4g,0.7g,36.4g,3.4g,3.0g,6.1g,0.83g
Smarties Milk Chocolate,1.29,120,6,472,18.8g,11.4g,68.0g,62.8g,1.8g,6.3g,0.12g
Roasted Chicken Bites,2.28,50,2,192,7.2g,1.9g,7.9g,1.9g,0.0g,23.3g,2.4g
Alternative To Smoked Gouda Style Flavour Slices,0.53,200,10,332,26.5g,24.4g,22.9g,0g,0.1g,0.3g,1.25g
Reduced Fat 3 Houmous Stacker,5.85,180,3,168,9.2g,1.0g,12.7g,0.6g,4.7g,6.2g,0.86g
Weetabix,7.02,430,12,366,2.0g,0.6g,69g,4.2g,10g,12g,0.28g
Fig & Balsamic Chutney,1.39,210,14,233,1.1g,0.8g,52.0g,49.2g,4.8g,1.3g,0.8g
Cooked& Peeled King Prawns,1.13,150,2,47,0.2g,<0.1g,0.0g,0.0g,0.0g,11.4g,1.4g
Chicken Poke,1.52,326,1,136,2.9g,0.7g,18.9g,5.1g,1.0g,7.9g,1.13g
Yoyo Strawberry,1.76,60,3,280,0g,0g,63g,42g,10g,1.9g,0g
Timeout Wafer Biscuits,1.17,121,6,526,28 g,15 g,62 g,45 g,2.1 g,4.9 g,0.20 g
Chicken Salad Sandwich,7.02,190,1,168,3.4g,0.6g,21.2g,2.1g,2.5g,12.0g,0.5g
Thai Hom Mali Aaa Jasmine Fragrant Rice,14.04,5000,66,136,1.0g,0.1g,29.1g,0.1g,0.5g,2.5g,<0.01g
Instant Lemon Flavour Tea,1.7,165,23,324,0g,0g,79.6g,78.3g,0g,1.4g,0.75g
Extra Hot Cheddar,2.3,170,6,360,28.0g,17.2g),2.5g,1.3g),0.0g,20.8g,1.8g
Creamy Oat Porridge,3,240,12,426,10.2g,4.5g,64.4g,30.2g,3.1g,16.8g,0.35g
Sweetcorn Cobettes,1.29,300,3,120,2.3g,0.3g,19.6g,2.3g,2.2g,4.2g,<0.01g
Apple & Rhubarb Juice,2.5,1000,6,46,0.4 g,0.0 g,9.7 g,9.2 g,0.3g,0.2 g,<0.01 g
Plant-Based Kebab Doner Style,3.5,280,2,256,20 g,1.4 g,9.2 g,0.6 g,4.5 g,9.8 g,1.9 g
Garibaldi Biscuits,1.1,200,20,408,10.5g,4.8g,72.2g,36.8g,2.5g,4.9g,0.30g
Whole Chestnuts,2.4,180,3,176,1.6g,0.3g,33g,9.1g,5.9g,4.1g,<0.01g
Chunky Caramel Snacksize,1.25,140,4,497,24.9g,14.3g,60.2g,52.0g,2.0g,7.0g,0.28g
Smooth Peanut Butter,3,300,20,599,48.2g,5.9g,11.9g,5.7g,8.8g,26.4g,0.40g
Zero Calorie Sparkling White Grape,2.4,750,5,4,0.0g,0.0g,0.6g,0.5g,0.0g,0.0g,0.0g
Organic Raspberries,2.5,150,1,32,0.3g,0.1g,4.6g,4.6g,2.5g,1.4g,<0.01g
Mango & Passion Fruit Mousse,1,100,1,231,15.7g,10.3g,18.4g,15.8g,0.4g,3.7g,0.08g
Large Stir Fry,1.19,570,4,55,2.5g,0.2g,4.7g,3.5g,2.2g,2.2g,0.14g
Vanilla Flavour Frosting,0.97,300,9,437,18.4g,9.8g,67.4g,67.4g,0.5g,0.1g,0.58g
Organic Stock Cubes Mushroom,1.2,66,6,7,0.5g,0.3g,0.5g,0g,1.0g,0.1g,0.9g
Hard Seltzer Variety Pack,11,1980,6,29, , ,0.6 g,0.6 g,0.0g, ,0.01 g
Butter Chicken Cooking Sauce,2.15,420,4,84,5.4g,2.3g,7.4g,4.1g,0.8g,1.0g,0.77g
Carbonara Sauce,1,485,4,98,8.1g,0.8g,5.0g,1.3g,0.5g,1.0g,0.68g
Jamaican Jerk Seasoning,1.85,51,10,285,5.4g, ,34.9g,13.8g,3.5g,10.2g,8.25g
Savoury Nibbles Selection,2,115,5,512,28.1g,18.3g,48.6g,3.6g,3.4g,14.4g,1.73g
